"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"8600000US06390","ZCTA5 06390","125","106"
"8600000US10001","ZCTA5 10001","24117","1274"
"8600000US10002","ZCTA5 10002","74479","1959"
"8600000US10003","ZCTA5 10003","53977","1593"
"8600000US10004","ZCTA5 10004","3335","581"
"8600000US10005","ZCTA5 10005","8701","900"
"8600000US10006","ZCTA5 10006","3092","404"
"8600000US10007","ZCTA5 10007","7408","924"
"8600000US10009","ZCTA5 10009","58293","1722"
"8600000US10010","ZCTA5 10010","35906","2185"
"8600000US10011","ZCTA5 10011","49949","1782"
"8600000US10012","ZCTA5 10012","23318","1067"
"8600000US10013","ZCTA5 10013","28799","1230"
"8600000US10014","ZCTA5 10014","30344","1204"
"8600000US10016","ZCTA5 10016","52886","2308"
"8600000US10017","ZCTA5 10017","15846","1229"
"8600000US10018","ZCTA5 10018","8806","686"
"8600000US10019","ZCTA5 10019","45498","1791"
"8600000US10020","ZCTA5 10020","0","12"
"8600000US10021","ZCTA5 10021","44280","2555"
"8600000US10022","ZCTA5 10022","31130","1526"
"8600000US10023","ZCTA5 10023","62541","2429"
"8600000US10024","ZCTA5 10024","58102","2182"
"8600000US10025","ZCTA5 10025","92251","2905"
"8600000US10026","ZCTA5 10026","38585","1697"
"8600000US10027","ZCTA5 10027","64988","2089"
"8600000US10028","ZCTA5 10028","46768","2159"
"8600000US10029","ZCTA5 10029","76713","2142"
"8600000US10030","ZCTA5 10030","31060","1606"
"8600000US10031","ZCTA5 10031","59586","2618"
"8600000US10032","ZCTA5 10032","63214","2726"
"8600000US10033","ZCTA5 10033","58349","2089"
"8600000US10034","ZCTA5 10034","42399","1894"
"8600000US10035","ZCTA5 10035","36048","1886"
"8600000US10036","ZCTA5 10036","28487","1554"
"8600000US10037","ZCTA5 10037","20462","1103"
"8600000US10038","ZCTA5 10038","23311","939"
"8600000US10039","ZCTA5 10039","27854","1574"
"8600000US10040","ZCTA5 10040","44800","2046"
"8600000US10044","ZCTA5 10044","12440","961"
"8600000US10065","ZCTA5 10065","29530","1720"
"8600000US10069","ZCTA5 10069","6051","813"
"8600000US10075","ZCTA5 10075","22252","2096"
"8600000US10103","ZCTA5 10103","0","12"
"8600000US10110","ZCTA5 10110","0","12"
"8600000US10111","ZCTA5 10111","0","12"
"8600000US10112","ZCTA5 10112","0","12"
"8600000US10115","ZCTA5 10115","0","12"
"8600000US10119","ZCTA5 10119","0","12"
"8600000US10128","ZCTA5 10128","58636","1816"
"8600000US10152","ZCTA5 10152","0","12"
"8600000US10153","ZCTA5 10153","0","12"
"8600000US10154","ZCTA5 10154","0","12"
"8600000US10162","ZCTA5 10162","1486","517"
"8600000US10165","ZCTA5 10165","0","12"
"8600000US10167","ZCTA5 10167","0","12"
